Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
95,2381597802,bfurlow8,0,113.08,DST Giants  WR Stefon Diggs FLEX Brian Hill RB Dalvin Cook QB Josh Allen RB Nyheim Hines TE Hayden Hurst WR Laviska Shenault Jr. WR Justin Jefferson,,Jack Doyle,TE,1.00%,0
96,2382297792,jadspive,0,112.9,DST Giants  TE Kyle Rudolph QB Derek Carr WR Keelan Cole Sr. RB Dalvin Cook RB Nyheim Hines WR Calvin Ridley FLEX Josh Jacobs WR Justin Jefferson,,Rashard Higgins,WR,1.00%,2.5
97,2382373962,wadeb09,0,112.88,DST Browns  QB Teddy Bridgewater WR Robby Anderson RB Mike Davis WR Keelan Cole Sr. FLEX Nick Chubb RB Dalvin Cook TE Hayden Hurst WR Denzel Mims,,Jalen Guyton,WR,1.00%,6.3
98,2381934853,g1818g,0,112.78,DST Jets  WR Keenan Allen TE Tyler Kroft WR Robby Anderson WR Stefon Diggs RB Brian Hill QB Josh Allen RB Nyheim Hines FLEX Calvin Ridley,,T.Y. Hilton,WR,1.00%,18.1
98,2382255421,beemac22,0,112.77999,DST Giants  QB Ryan Fitzpatrick TE Tyler Eifert WR DeAndre Hopkins WR DeVante Parker WR Mike Williams FLEX Kareem Hunt RB Dalvin Cook RB Nyheim Hines,,Frank Gore,RB,1.00%,11.6
100,2381474107,BlackhawkGirl50,0,112.74,DST Browns  FLEX Kyle Rudolph WR DeVante Parker WR Stefon Diggs RB Wayne Gallman Jr. TE Jonnu Smith RB Dalvin Cook QB Justin Herbert WR Tee Higgins,,Julio Jones,WR,1.00%,0
101,2381545361,gohard5,0,112.45999,DST Giants  QB Cam Newton FLEX Kyle Rudolph WR Robby Anderson TE Hunter Henry RB Dalvin Cook WR Jakobi Meyers WR Calvin Ridley RB Devin Singletary,,Samaje Perine,RB,1.00%,1.2
102,2381722768,jmbrow936,0,112.04,DST Dolphins  WR Cole Beasley TE Tyler Eifert WR Nelson Agholor FLEX Kenyan Drake WR Mike Williams RB Kareem Hunt RB Dalvin Cook QB Justin Herbert,,Todd Gurley II,FLEX,0.50%,0
103,2381960613,Doogles724,0,111.4,DST Dolphins  FLEX Wayne Gallman Jr. WR Mike Williams WR Tyler Boyd TE Hunter Henry RB Nick Chubb QB Kyler Murray WR Michael Pittman Jr. RB Devin Singletary,,Mark Andrews,TE,0.50%,0
104,2381440293,bigsmith51,0,111.380005,DST Giants  WR Jamison Crowder TE Darren Waller WR Nelson Agholor FLEX Wayne Gallman Jr. RB Dalvin Cook QB Sam Darnold RB Nyheim Hines WR Justin Jefferson,,DeMichael Harris,WR,0.50%,1.3
105,2381497380,jkoish10,0,111.04,DST Giants  FLEX Jamison Crowder WR Robby Anderson WR Nelson Agholor RB Kareem Hunt TE Evan Engram WR Keelan Cole Sr. RB Dalvin Cook QB Justin Herbert,,K.J. Osborn,WR,0.50%,0
106,2381555268,Mr.Glitch,0,110.74001,DST Browns  WR Keenan Allen WR Sterling Shepard RB Wayne Gallman Jr. TE Hunter Henry RB Nyheim Hines QB Justin Herbert WR Michael Pittman Jr. FLEX Josh Jacobs,,David Njoku,TE,0.50%,0
107,2381774388,angelsand49ers,0,110.48,DST Jets  WR Keenan Allen TE Darren Waller FLEX Mike Davis WR Stefon Diggs RB Brian Hill QB Josh Allen RB Nyheim Hines WR Gabriel Davis,,Sam Darnold,QB,0.50%,6.78
108,2382131266,dannyvanzandt,0,110.38,DST Dolphins  WR Cole Beasley QB Teddy Bridgewater FLEX Darren Waller WR Robby Anderson RB Kareem Hunt RB Austin Ekeler TE Mike Gesicki WR Christian Kirk,,Jason Witten,TE,0.50%,0
