C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,RW,Alex Chiasson (16154768) (LOCKED),Alex Chiasson,16154768,W/UTIL,2800,VAN@EDM 01/14/2021 09:00PM ET,EDM,5.08
,,,,,,,,,,LW,Tyler Motte (16154855) (LOCKED),Tyler Motte,16154855,W/UTIL,2800,VAN@EDM 01/14/2021 09:00PM ET,VAN,5.68
,,,,,,,,,,RW,Nils Hoglander (16155198) (LOCKED),Nils Hoglander,16155198,W/UTIL,2800,VAN@EDM 01/14/2021 09:00PM ET,VAN,0
,,,,,,,,,,RW,Marcus Foligno (16154644),Marcus Foligno,16154644,W/UTIL,2800,MIN@LA 01/14/2021 10:00PM ET,MIN,5.76
,,,,,,,,,,LW,Drake Caggiula (16154999) (LOCKED),Drake Caggiula,16154999,W/UTIL,2700,SJ@ARI 01/14/2021 09:00PM ET,ARI,5.16
,,,,,,,,,,LW,John Leonard (16155155) (LOCKED),John Leonard,16155155,W/UTIL,2700,SJ@ARI 01/14/2021 09:00PM ET,SJ,0
,,,,,,,,,,C,Cody Glass (16155073),Cody Glass,16155073,C/UTIL,2700,ANH@VGK 01/14/2021 10:00PM ET,VGK,4.23
,,,,,,,,,,D,Brad Hunt (16154770),Brad Hunt,16154770,D/UTIL,2700,MIN@LA 01/14/2021 10:00PM ET,MIN,5.67
,,,,,,,,,,LW,Jordan Greenway (16154946),Jordan Greenway,16154946,W/UTIL,2700,MIN@LA 01/14/2021 10:00PM ET,MIN,5.4
,,,,,,,,,,C,Gabriel Vilardi (16155077),Gabriel Vilardi,16155077,C/UTIL,2700,MIN@LA 01/14/2021 10:00PM ET,LA,7.92
,,,,,,,,,,C,Noah Gregor (16155029) (LOCKED),Noah Gregor,16155029,C/UTIL,2600,SJ@ARI 01/14/2021 09:00PM ET,SJ,3.31
,,,,,,,,,,LW,Nicolas Roy (16154961),Nicolas Roy,16154961,W/UTIL,2600,ANH@VGK 01/14/2021 10:00PM ET,VGK,4.8
,,,,,,,,,,RW,Jesse Puljujarvi (16155003) (LOCKED),Jesse Puljujarvi,16155003,W/UTIL,2600,VAN@EDM 01/14/2021 09:00PM ET,EDM,0
,,,,,,,,,,LW,Patrick Marleau (16154544) (LOCKED),Patrick Marleau,16154544,W/UTIL,2500,SJ@ARI 01/14/2021 09:00PM ET,SJ,5.24
,,,,,,,,,,LW,Michael Grabner (16154586) (LOCKED),Michael Grabner,16154586,W/UTIL,2500,SJ@ARI 01/14/2021 09:00PM ET,ARI,4.5
,,,,,,,,,,RW,Beau Bennett (16154662) (LOCKED),Beau Bennett,16154662,W/UTIL,2500,SJ@ARI 01/14/2021 09:00PM ET,ARI,0
,,,,,,,,,,RW,Tyler Pitlick (16154664) (LOCKED),Tyler Pitlick,16154664,W/UTIL,2500,SJ@ARI 01/14/2021 09:00PM ET,ARI,4.7
,,,,,,,,,,C,Johan Larsson (16154668) (LOCKED),Johan Larsson,16154668,C/UTIL,2500,SJ@ARI 01/14/2021 09:00PM ET,ARI,3.99
,,,,,,,,,,C,Michael Chaput (16154670) (LOCKED),Michael Chaput,16154670,C/UTIL,2500,SJ@ARI 01/14/2021 09:00PM ET,ARI,2.8
,,,,,,,,,,RW,Marcus Sorensen (16154674) (LOCKED),Marcus Sorensen,16154674,W/UTIL,2500,SJ@ARI 01/14/2021 09:00PM ET,SJ,3.89
,,,,,,,,,,D,Tim Heed (16154676) (LOCKED),Tim Heed,16154676,D/UTIL,2500,SJ@ARI 01/14/2021 09:00PM ET,SJ,3.67
,,,,,,,,,,D,Dalton Prout (16154682) (LOCKED),Dalton Prout,16154682,D/UTIL,2500,SJ@ARI 01/14/2021 09:00PM ET,SJ,3.45
,,,,,,,,,,D,Aaron Ness (16154695) (LOCKED),Aaron Ness,16154695,D/UTIL,2500,SJ@ARI 01/14/2021 09:00PM ET,ARI,2.23
,,,,,,,,,,C,Andy Miele (16154699) (LOCKED),Andy Miele,16154699,C/UTIL,2500,SJ@ARI 01/14/2021 09:00PM ET,ARI,0
,,,,,,,,,,RW,Matt Nieto (16154732) (LOCKED),Matt Nieto,16154732,W/UTIL,2500,SJ@ARI 01/14/2021 09:00PM ET,SJ,4.14
,,,,,,,,,,D,Robbie Russo (16154744) (LOCKED),Robbie Russo,16154744,D/UTIL,2500,SJ@ARI 01/14/2021 09:00PM ET,ARI,0
