QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,WR,Jaydon Mickens (16092730),Jaydon Mickens,16092730,WR/FLEX,3000,TB@WAS 01/09/2021 08:15PM ET,TB,1.28
,,,,,,,,,,WR,John Franklin III (16092732),John Franklin III,16092732,WR/FLEX,3000,TB@WAS 01/09/2021 08:15PM ET,TB,0
,,,,,,,,,,TE,Jack Doyle (16092770),Jack Doyle,16092770,TE/FLEX,2900,IND@BUF 01/09/2021 01:05PM ET,IND,5.01
,,,,,,,,,,DST,Rams  (16092820),Rams ,16092820,DST,2900,LAR@SEA 01/09/2021 04:40PM ET,LAR,9.44
,,,,,,,,,,TE,Trey Burton (16092772),Trey Burton,16092772,TE/FLEX,2800,IND@BUF 01/09/2021 01:05PM ET,IND,6.41
,,,,,,,,,,TE,Jacob Hollister (16092774),Jacob Hollister,16092774,TE/FLEX,2700,LAR@SEA 01/09/2021 04:40PM ET,SEA,4.71
,,,,,,,,,,DST,Seahawks  (16092821),Seahawks ,16092821,DST,2700,LAR@SEA 01/09/2021 04:40PM ET,SEA,6.56
,,,,,,,,,,TE,Cameron Brate (16092776),Cameron Brate,16092776,TE/FLEX,2700,TB@WAS 01/09/2021 08:15PM ET,TB,4.87
,,,,,,,,,,TE,Mo Alie-Cox (16092780),Mo Alie-Cox,16092780,TE/FLEX,2600,IND@BUF 01/09/2021 01:05PM ET,IND,6.03
,,,,,,,,,,TE,Will Dissly (16092778),Will Dissly,16092778,TE/FLEX,2600,LAR@SEA 01/09/2021 04:40PM ET,SEA,4.07
,,,,,,,,,,TE,Lee Smith (16092782),Lee Smith,16092782,TE/FLEX,2500,IND@BUF 01/09/2021 01:05PM ET,BUF,3.9
,,,,,,,,,,TE,Noah Togiai (16092808),Noah Togiai,16092808,TE/FLEX,2500,IND@BUF 01/09/2021 01:05PM ET,IND,0
,,,,,,,,,,TE,Nate Becker (16092810),Nate Becker,16092810,TE/FLEX,2500,IND@BUF 01/09/2021 01:05PM ET,BUF,0
,,,,,,,,,,TE,Tyler Kroft (16092812),Tyler Kroft,16092812,TE/FLEX,2500,IND@BUF 01/09/2021 01:05PM ET,BUF,5.99
,,,,,,,,,,TE,Tommy Sweeney (16092814),Tommy Sweeney,16092814,TE/FLEX,2500,IND@BUF 01/09/2021 01:05PM ET,BUF,0
,,,,,,,,,,TE,Reggie Gilliam (16092816),Reggie Gilliam,16092816,TE/FLEX,2500,IND@BUF 01/09/2021 01:05PM ET,BUF,2.4
,,,,,,,,,,TE,Colby Parkinson (16092798),Colby Parkinson,16092798,TE/FLEX,2500,LAR@SEA 01/09/2021 04:40PM ET,SEA,3.6
,,,,,,,,,,TE,Greg Olsen (16092800),Greg Olsen,16092800,TE/FLEX,2500,LAR@SEA 01/09/2021 04:40PM ET,SEA,4.9
,,,,,,,,,,TE,Tyler Ott (16092802),Tyler Ott,16092802,TE/FLEX,2500,LAR@SEA 01/09/2021 04:40PM ET,SEA,0
,,,,,,,,,,TE,Johnny Mundt (16092804),Johnny Mundt,16092804,TE/FLEX,2500,LAR@SEA 01/09/2021 04:40PM ET,LAR,1.86
,,,,,,,,,,TE,Brycen Hopkins (16092806),Brycen Hopkins,16092806,TE/FLEX,2500,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,,,,TE,Jeremy Sprinkle (16092784),Jeremy Sprinkle,16092784,TE/FLEX,2500,TB@WAS 01/09/2021 08:15PM ET,WAS,0.23
,,,,,,,,,,TE,Marcus Baugh (16092786),Marcus Baugh,16092786,TE/FLEX,2500,TB@WAS 01/09/2021 08:15PM ET,WAS,1.2
,,,,,,,,,,TE,Temarrick Hemingway (16092788),Temarrick Hemingway,16092788,TE/FLEX,2500,TB@WAS 01/09/2021 08:15PM ET,WAS,0.67
,,,,,,,,,,TE,Thaddeus Moss (16092790),Thaddeus Moss,16092790,TE/FLEX,2500,TB@WAS 01/09/2021 08:15PM ET,WAS,0
,,,,,,,,,,TE,Tanner Hudson (16092792),Tanner Hudson,16092792,TE/FLEX,2500,TB@WAS 01/09/2021 08:15PM ET,TB,1.78
,,,,,,,,,,TE,Antony Auclair (16092794),Antony Auclair,16092794,TE/FLEX,2500,TB@WAS 01/09/2021 08:15PM ET,TB,0
,,,,,,,,,,TE,O.J. Howard (16092796),O.J. Howard,16092796,TE/FLEX,2500,TB@WAS 01/09/2021 08:15PM ET,TB,9.4
,,,,,,,,,,DST,WAS Football Team  (16092822),WAS Football Team ,16092822,DST,2400,TB@WAS 01/09/2021 08:15PM ET,WAS,7.94
,,,,,,,,,,DST,Colts  (16092823),Colts ,16092823,DST,2200,IND@BUF 01/09/2021 01:05PM ET,IND,9.06
