first_name,last_name,position,reg_line,pp_line,game_date,team,opp,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Warren,Foegele,W,4,,2019-10-03,CAR,MTL,5.5,3,2700,13,0.5,2.7,5.5,2.9,1.1,,
Mathieu,Joseph,W,3,,2019-10-03,TBL,FLA,6.5,3.7,3400,7,1.5,2.3,4.5,2.9,0.9,,
Nate,Thompson,C,4,,2019-10-03,MTL,CAR,5.5,2.5,2700,25,1.5,3.8,11.5,2.8,1.0,,
Lias,Andersson,C,4,,2019-10-03,NYR,WPG,6,3.1,2500,11,0.0,4.5,15.0,2.8,1.1,,
Calle,Jarnkrok,W,3,,2019-10-03,NSH,MIN,5.5,3.1,3100,19,0.0,3.3,11.5,2.8,0.9,,
Christian,Dvorak,C,4,,2019-10-03,ARI,ANA,5.5,2.7,3000,12,0.5,2.5,7.0,2.8,0.9,,
Jamie,Oleksiak,D,3,,2019-10-03,DAL,BOS,5.5,2.8,2600,6,0.5,2.2,7.0,2.8,1.1,,
Pierre-Edouard,Bellemare,C,4,,2019-10-03,COL,CGY,6.5,3.4,2800,21,1.0,2.5,4.5,2.8,1.0,,
Dante,Fabbro,D,2,2,2019-10-03,NSH,MIN,5.5,3.1,2900,8,0.0,2.1,6.5,2.7,0.9,,
Andrew,Mangiapane,W,4,,2019-10-03,CGY,COL,6.5,3.1,2700,1,0.0,3.3,11.5,2.7,1.0,,
Casey,Mittelstadt,C,3,2,2019-10-03,BUF,PIT,6,2.6,3400,8,0.0,1.6,4.5,2.7,0.8,,
Derek,Ryan,C,3,,2019-10-03,CGY,COL,6.5,3.1,3200,20,0.0,3.1,12.0,2.7,0.8,,
Josh,Brown,D,2,,2019-10-03,FLA,TBL,6.5,2.8,2500,27,0.0,1.5,3.0,2.7,1.1,,
Vladimir,Sobotka,W,2,,2019-10-03,BUF,PIT,6,2.6,2900,25,0.0,2.1,6.5,2.6,0.9,,
Radek,Faksa,C,3,2,2019-10-03,DAL,BOS,5.5,2.8,3100,5,0.0,3.1,13.0,2.6,0.8,,
Mark,Jankowski,C,4,,2019-10-03,CGY,COL,6.5,3.1,2900,20,0.0,2.2,5.0,2.6,0.9,,
David,Backes,W,3,,2019-10-03,BOS,DAL,5.5,2.8,2800,11,0.0,2.1,5.5,2.5,0.9,,
Denis,Gurianov,W,4,,2019-10-03,DAL,BOS,5.5,2.8,2600,6,0.0,2.0,5.0,2.4,0.9,,
Henrik,Borgstrom,C,3,2,2019-10-03,FLA,TBL,6.5,2.8,3100,16,0.0,1.6,5.0,2.4,0.8,,
