C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,D,Madison Bowey (16216330),Madison Bowey,16216330,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,RW,Ryan Carpenter (16216349),Ryan Carpenter,16216349,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,4.02
,,,,,,,,,,RW,Brendan Perlini (16216359),Brendan Perlini,16216359,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,RW,John Quenneville (16216367),John Quenneville,16216367,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,C,Dominic Turgeon (16216373),Dominic Turgeon,16216373,C/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,C,Christoffer Ehn (16216379),Christoffer Ehn,16216379,C/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,D,Anton Lindholm (16216384),Anton Lindholm,16216384,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,D,Joe Hicketts (16216390),Joe Hicketts,16216390,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,RW,Evgeny Svechnikov (16216400),Evgeny Svechnikov,16216400,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,C,Chase Pearson (16216420),Chase Pearson,16216420,C/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,C,Kyle Criscuolo (16216432),Kyle Criscuolo,16216432,C/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,LW,Alex Nylander (16216434),Alex Nylander,16216434,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,D,Dennis Cholowski (16216440),Dennis Cholowski,16216440,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,LW,Cam Morrison (16216444),Cam Morrison,16216444,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,D,Chad Krys (16216448),Chad Krys,16216448,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,LW,Givani Smith (16216450),Givani Smith,16216450,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,D,Lucas Carlsson (16216460),Lucas Carlsson,16216460,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,LW,Brandon Hagel (16216472),Brandon Hagel,16216472,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,2.6
,,,,,,,,,,LW,Alexandre Fortin (16216480),Alexandre Fortin,16216480,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,RW,Andrei Altybarmakyan (16216492),Andrei Altybarmakyan,16216492,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,LW,Matthew Highmore (16216494),Matthew Highmore,16216494,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,1
,,,,,,,,,,C,David Kampf (16216500),David Kampf,16216500,C/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,2.25
,,,,,,,,,,D,Gustav Lindstrom (16216511),Gustav Lindstrom,16216511,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,D,Ian Mitchell (16216517),Ian Mitchell,16216517,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,1.78
,,,,,,,,,,RW,MacKenzie Entwistle (16216519),MacKenzie Entwistle,16216519,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,C,Evan Barratt (16216521),Evan Barratt,16216521,C/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,C,Tim Soderlund (16216523),Tim Soderlund,16216523,C/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,D,Wyatt Kalynuk (16216527),Wyatt Kalynuk,16216527,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,C,Jacob Nilsson (16216548),Jacob Nilsson,16216548,C/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,D,Nicolas Beaudin (16216560),Nicolas Beaudin,16216560,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,C,Joseph Veleno (16216562),Joseph Veleno,16216562,C/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,D,Alec Regula (16216564),Alec Regula,16216564,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,LW,Philipp Kurashev (16216566),Philipp Kurashev,16216566,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,5.33
,,,,,,,,,,RW,Reese Johnson (16216572),Reese Johnson,16216572,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,LW,Taro Hirose (16216574),Taro Hirose,16216574,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,LW,Anton Wedin (16216589),Anton Wedin,16216589,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,LW,Michal Teply (16216597),Michal Teply,16216597,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
