P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
,,,,,,,,,,,RP,Scott Oberg (13097177),Scott Oberg,13097177,P,4000,COL@SD 08/08/2019 10:10PM ET,COL,4.27
,,,,,,,,,,,RP,Kazuhisa Makita (13097210),Kazuhisa Makita,13097210,P,4000,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,SP,Luis Perdomo (13097213),Luis Perdomo,13097213,P,4000,COL@SD 08/08/2019 10:10PM ET,SD,3.75
,,,,,,,,,,,RP,Sam Howard (13097233),Sam Howard,13097233,P,4000,COL@SD 08/08/2019 10:10PM ET,COL,1.76
,,,,,,,,,,,RP,Trey Wingenter (13097258),Trey Wingenter,13097258,P,4000,COL@SD 08/08/2019 10:10PM ET,SD,3.34
,,,,,,,,,,,RP,Joseph Harvey (13097284),Joseph Harvey,13097284,P,4000,COL@SD 08/08/2019 10:10PM ET,COL,3.01
,,,,,,,,,,,RP,Eric Stout (13097291),Eric Stout,13097291,P,4000,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,RP,Kyle McGrath (13097294),Kyle McGrath,13097294,P,4000,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,1B,Josh Fuentes (13097295),Josh Fuentes,13097295,1B,4000,COL@SD 08/08/2019 10:10PM ET,COL,1.11
,,,,,,,,,,,SP,Anderson Espinoza (13097305),Anderson Espinoza,13097305,P,4000,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,RP,Ben Bowden (13097307),Ben Bowden,13097307,P,4000,COL@SD 08/08/2019 10:10PM ET,COL,0
,,,,,,,,,,,RP,Justin Lawrence (13097319),Justin Lawrence,13097319,P,4000,COL@SD 08/08/2019 10:10PM ET,COL,0
,,,,,,,,,,,RP,Andres Munoz (13097333),Andres Munoz,13097333,P,4000,COL@SD 08/08/2019 10:10PM ET,SD,4.22
,,,,,,,,,,,RP,Michel Baez (13097335),Michel Baez,13097335,P,4000,COL@SD 08/08/2019 10:10PM ET,SD,4.69
,,,,,,,,,,,1B/3B,Pablo Sandoval (13097103),Pablo Sandoval,13097103,1B/3B,4000,PHI@SF 08/08/2019 09:45PM ET,SF,5.37
,,,,,,,,,,,2B/SS,Donovan Solano (13097111),Donovan Solano,13097111,2B/SS,4000,PHI@SF 08/08/2019 09:45PM ET,SF,5.29
,,,,,,,,,,,3B,Evan Longoria (13097117),Evan Longoria,13097117,3B,4000,PHI@SF 08/08/2019 09:45PM ET,SF,6.58
,,,,,,,,,,,RP,Pedro Beato (13097118),Pedro Beato,13097118,P,4000,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,RP,Casey Kelly (13097140),Casey Kelly,13097140,P,4000,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,RP,Jeremy Bleich (13097141),Jeremy Bleich,13097141,P,4000,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,SP,Nick Vincent (13097145),Nick Vincent,13097145,P,4000,PHI@SF 08/08/2019 09:45PM ET,SF,3.49
,,,,,,,,,,,RP,Pat Venditte (13097147),Pat Venditte,13097147,P,4000,PHI@SF 08/08/2019 09:45PM ET,SF,-2.95
