C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,C,Chandler Stephenson (16326511),Chandler Stephenson,16326511,C/UTIL,4100,LA@VGK 02/05/2021 10:00PM ET,VGK,5.23
,,,,,,,,,,D,Hampus Lindholm (16327043),Hampus Lindholm,16327043,D/UTIL,4100,SJ@ANH 02/05/2021 10:00PM ET,ANH,6.67
,,,,,,,,,,LW,Anthony Mantha (16326747),Anthony Mantha,16326747,W/UTIL,4000,DET@TB 02/05/2021 07:00PM ET,DET,8.66
,,,,,,,,,,D,Ryan McDonagh (16327045),Ryan McDonagh,16327045,D/UTIL,4000,DET@TB 02/05/2021 07:00PM ET,TB,8.74
,,,,,,,,,,C,Ryan Getzlaf (16326513),Ryan Getzlaf,16326513,C/UTIL,4000,SJ@ANH 02/05/2021 10:00PM ET,ANH,5.24
,,,,,,,,,,RW,Jakob Silfverberg (16326745),Jakob Silfverberg,16326745,W/UTIL,4000,SJ@ANH 02/05/2021 10:00PM ET,ANH,6.72
,,,,,,,,,,LW,Nick Ritchie (16326751),Nick Ritchie,16326751,W/UTIL,3900,BOS@PHI 02/05/2021 07:00PM ET,BOS,10.34
,,,,,,,,,,LW,Robby Fabbri (16326749),Robby Fabbri,16326749,W/UTIL,3900,DET@TB 02/05/2021 07:00PM ET,DET,8
,,,,,,,,,,C,Ryan Johansen (16326515),Ryan Johansen,16326515,C/UTIL,3900,NSH@FLA 02/05/2021 07:00PM ET,NSH,4.79
,,,,,,,,,,D,Kevin Shattenkirk (16327047),Kevin Shattenkirk,16327047,D/UTIL,3900,SJ@ANH 02/05/2021 10:00PM ET,ANH,4.84
,,,,,,,,,,RW,Craig Smith (16326755),Craig Smith,16326755,W/UTIL,3800,BOS@PHI 02/05/2021 07:00PM ET,BOS,8.78
,,,,,,,,,,D,Shayne Gostisbehere (16327049),Shayne Gostisbehere,16327049,D/UTIL,3800,BOS@PHI 02/05/2021 07:00PM ET,PHI,6.38
