Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
82,1638400008,kgdobby (2/14),0,117.4,C Auston Matthews C John Tavares UTIL Cody Glass W Max Pacioretty W Kasperi Kapanen W Joakim Nygard D Alexander Edler D Oscar Klefbom G Frederik Andersen,,Kevin Labanc,W,2.53%,4.5
82,1638400028,kgdobby (4/14),0,117.4,C Auston Matthews C John Tavares UTIL Cody Glass W Max Pacioretty W Kasperi Kapanen W Joakim Nygard D Alexander Edler D Oscar Klefbom G Frederik Andersen,,Rasmus Sandin,D,2.53%,8
82,1638400037,kgdobby (6/14),0,117.4,C Auston Matthews C John Tavares UTIL Cody Glass W Max Pacioretty W Kasperi Kapanen W Joakim Nygard D Alexander Edler D Oscar Klefbom G Frederik Andersen,,Brayden McNabb,D,2.53%,1.3
82,1638400068,kgdobby (8/14),0,117.4,C Auston Matthews C John Tavares UTIL Cody Glass W Max Pacioretty W Kasperi Kapanen W Joakim Nygard D Alexander Edler D Oscar Klefbom G Frederik Andersen,,Trevor Moore,W,2.32%,14.3
82,1638416496,kgdobby (10/14),0,117.4,C Auston Matthews C John Tavares UTIL Cody Glass W Max Pacioretty W Kasperi Kapanen W Joakim Nygard D Alexander Edler D Oscar Klefbom G Frederik Andersen,,Chris Tierney,C,2.32%,9.1
82,1638416501,kgdobby (12/14),0,117.4,C Auston Matthews C John Tavares UTIL Cody Glass W Max Pacioretty W Kasperi Kapanen W Joakim Nygard D Alexander Edler D Oscar Klefbom G Frederik Andersen,,Joe Thornton,C,2.32%,2.8
82,1638416528,kgdobby (14/14),0,117.4,C Auston Matthews C John Tavares UTIL Cody Glass W Max Pacioretty W Kasperi Kapanen W Joakim Nygard D Alexander Edler D Oscar Klefbom G Frederik Andersen,,Sven Baertschi,W,2.11%,0
89,1638410234,atg19,0,117.1,C Auston Matthews C Joe Thornton UTIL Leon Draisaitl W Kevin Labanc W James Neal W Anthony Duclair D Morgan Rielly D Marc-Edouard Vlasic G Frederik Andersen,,Alexander Steen,W,2.11%,1.3
90,1638402602,ndesmarais15 (11/14),0,117,C Auston Matthews C Bo Horvat UTIL Alexander Kerfoot W William Nylander W J.T. Miller W Tanner Pearson D Morgan Rielly D John Carlson G Frederik Andersen,,Jakub Vrana,W,1.89%,19
90,1638410275,flittle53090 (1/2),0,117,C Auston Matthews UTIL Paul Stastny C Cody Glass W Max Pacioretty W William Nylander W Andreas Johnsson D Tyson Barrie D Quinn Hughes G Frederik Andersen,,Josh Leivo,W,1.89%,11.8
