C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,D,Ben Harpur (13457396),Ben Harpur,13457396,D/UTIL,2900,OTT@TOR 10/02/2019 07:00PM ET,TOR,3.79
,,,,,,,,,,RW,Robert Thomas (13457180),Robert Thomas,13457180,W/UTIL,2900,WAS@STL 10/02/2019 08:00PM ET,STL,4.7
,,,,,,,,,,D,Jay Bouwmeester (13457388),Jay Bouwmeester,13457388,D/UTIL,2900,WAS@STL 10/02/2019 08:00PM ET,STL,4.93
,,,,,,,,,,D,Nick Jensen (13457394),Nick Jensen,13457394,D/UTIL,2900,WAS@STL 10/02/2019 08:00PM ET,WAS,4.68
,,,,,,,,,,LW,Loui Eriksson (13457174),Loui Eriksson,13457174,W/UTIL,2900,VAN@EDM 10/02/2019 10:00PM ET,VAN,4.7
,,,,,,,,,,D,Troy Stecher (13457390),Troy Stecher,13457390,D/UTIL,2900,VAN@EDM 10/02/2019 10:00PM ET,VAN,5.21
,,,,,,,,,,C,Antti Suomela (13456978),Antti Suomela,13456978,C/UTIL,2900,SJ@VGK 10/02/2019 10:30PM ET,SJ,4.73
,,,,,,,,,,LW,Marcus Sorensen (13457172),Marcus Sorensen,13457172,W/UTIL,2900,SJ@VGK 10/02/2019 10:30PM ET,SJ,4.74
,,,,,,,,,,RW,Ryan Reaves (13457178),Ryan Reaves,13457178,W/UTIL,2900,SJ@VGK 10/02/2019 10:30PM ET,VGK,3.69
,,,,,,,,,,D,Jon Merrill (13457386),Jon Merrill,13457386,D/UTIL,2900,SJ@VGK 10/02/2019 10:30PM ET,VGK,5
,,,,,,,,,,D,Brenden Dillon (13457392),Brenden Dillon,13457392,D/UTIL,2900,SJ@VGK 10/02/2019 10:30PM ET,SJ,3.71
,,,,,,,,,,D,Radim Simek (13457426),Radim Simek,13457426,D/UTIL,2900,SJ@VGK 10/02/2019 10:30PM ET,SJ,3.76
,,,,,,,,,,C,Frederik Gauthier (13456984),Frederik Gauthier,13456984,C/UTIL,2800,OTT@TOR 10/02/2019 07:00PM ET,TOR,2.45
,,,,,,,,,,D,Travis Dermott (13457402),Travis Dermott,13457402,D/UTIL,2800,OTT@TOR 10/02/2019 07:00PM ET,TOR,4.97
,,,,,,,,,,D,Mark Borowiecki (13457404),Mark Borowiecki,13457404,D/UTIL,2800,OTT@TOR 10/02/2019 07:00PM ET,OTT,4.49
,,,,,,,,,,D,Jordan Schmaltz (13457408),Jordan Schmaltz,13457408,D/UTIL,2800,OTT@TOR 10/02/2019 07:00PM ET,TOR,2.76
,,,,,,,,,,LW,Brendan Leipsic (13457188),Brendan Leipsic,13457188,W/UTIL,2800,WAS@STL 10/02/2019 08:00PM ET,WAS,5.06
,,,,,,,,,,D,Robert Bortuzzo (13457398),Robert Bortuzzo,13457398,D/UTIL,2800,WAS@STL 10/02/2019 08:00PM ET,STL,4.34
,,,,,,,,,,D,Jonas Siegenthaler (13457406),Jonas Siegenthaler,13457406,D/UTIL,2800,WAS@STL 10/02/2019 08:00PM ET,WAS,3.58
,,,,,,,,,,C,Brandon Sutter (13456980),Brandon Sutter,13456980,C/UTIL,2800,VAN@EDM 10/02/2019 10:00PM ET,VAN,4.9
