Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
87,2427404930,Kennygz,0,99.90001,DST Rams  WR Emmanuel Sanders QB Taysom Hill WR DeAndre Hopkins RB Kenyan Drake WR Cooper Kupp RB Alvin Kamara TE Dallas Goedert FLEX Denzel Mims,,,
88,2426972943,draftroxbury,0,97.66,DST Rams  TE Travis Kelce RB Malcolm Brown FLEX Demarcus Robinson RB Alvin Kamara WR Tyreek Hill WR Tre'Quan Smith QB Patrick Mahomes WR Juwan Johnson,,,
89,2427445664,acafiero2,0,95.4,DST Rams  TE Travis Kelce QB Taysom Hill WR Robert Woods WR Sammy Watkins RB Kenyan Drake RB Alvin Kamara WR Tre'Quan Smith FLEX Denzel Mims,,,
90,2427359745,ctrippgo,0,95.26001,DST Rams  RB Latavius Murray WR Jamison Crowder WR Sammy Watkins WR Cooper Kupp QB Jared Goff TE Dallas Goedert FLEX Tyreek Hill RB Clyde Edwards-Helaire,,,
91,2427480105,CHARLiETHEGiANT,0,94.560005,DST Rams  WR Emmanuel Sanders WR Robert Woods WR Cooper Kupp QB Jared Goff RB Boston Scott RB Alvin Kamara TE Gerald Everett FLEX Clyde Edwards-Helaire,,,
92,2426888890,will0377,0,93.06,DST Rams  WR Larry Fitzgerald FLEX Sammy Watkins TE Tyler Higbee RB Kenyan Drake QB Jared Goff WR Tyreek Hill WR Travis Fulgham RB Cam Akers,,,
93,2427435615,davidjacobmorrison,0,91.36001,DST Rams  QB Drew Brees FLEX Robert Woods WR Cooper Kupp TE Dallas Goedert WR Travis Fulgham WR Christian Kirk RB Miles Sanders RB Clyde Edwards-Helaire,,,
94,2427466303,JGiddings,0,90.85999,DST Chiefs  TE Travis Kelce WR Tommylee Lewis FLEX Cooper Kupp WR Demarcus Robinson RB Alvin Kamara QB Patrick Mahomes WR Van Jefferson Jr. RB Cam Akers,,,
95,2426681246,zryan4,0,88.96001,DST Rams  WR Robert Woods FLEX Sammy Watkins RB Kenyan Drake WR Cooper Kupp QB Jared Goff TE Dallas Goedert WR Christian Kirk RB Miles Sanders,,,
96,2426753701,jveltre,0,85.86,DST Rams  TE Zach Ertz WR Robert Woods WR Sammy Watkins WR Cooper Kupp QB Jared Goff FLEX Boston Scott RB Cam Akers RB Clyde Edwards-Helaire,,,
97,2427438905,MacDaddyDoneDidIt,0,85.46001,DST Rams  WR Robert Woods RB Kenyan Drake WR Cooper Kupp QB Jared Goff TE Dallas Goedert WR Tre'Quan Smith FLEX Miles Sanders RB Clyde Edwards-Helaire,,,
98,2427348459,Fpower99,0,84.600006,DST Rams  QB Taysom Hill WR Sammy Watkins TE Tyler Higbee RB Kenyan Drake WR Cooper Kupp FLEX Alvin Kamara WR Christian Kirk RB Miles Sanders,,,
99,2427237595,brewerswx,0,82.86,DST Chiefs  TE Jared Cook FLEX Richard Rodgers WR Cooper Kupp WR Tyreek Hill QB Patrick Mahomes WR Christian Kirk RB Cam Akers RB Clyde Edwards-Helaire,,,
100,2427352821,kingofkings20,0,80.16,DST Saints  QB Drew Brees WR Robert Woods RB Ty Montgomery TE Dallas Goedert WR Travis Fulgham WR Christian Kirk FLEX Denzel Mims RB Cam Akers,,,
